ImageID,LabelName1,LabelName2,RelationshipLabel
fe600639ac5f36c1,/m/03bt1vf,/m/0hg7b,holds
fe600639ac5f36c1,/m/05r655,/m/0hg7b,holds
fe600639ac5f36c1,/m/03bt1vf,/m/015c4z,is
fe600639ac5f36c1,/m/03bt1vf,/m/015c4z,is
fe600639ac5f36c1,/m/03bt1vf,/m/015c4z,is
fe600639ac5f36c1,/m/03bt1vf,/m/01lhf,is
fe600639ac5f36c1,/m/05r655,/m/015c4z,is
fe600639ac5f36c1,/m/05r655,/m/015c4z,is
fe600639ac5f36c1,/m/05r655,/m/015c4z,is
fe600639ac5f36c1,/m/05r655,/m/01lhf,is
2f9ea40fc5161426,/m/03bt1vf,/m/0by3w,is
2f9ea40fc5161426,/m/05r655,/m/0by3w,is
2fed663b4eb60fc8,/m/03bt1vf,/m/019nj4,is
2fed663b4eb60fc8,/m/03bt1vf,/m/02wzbmj,is
2fed663b4eb60fc8,/m/03bt1vf,/m/02wzbmj,is
2fed663b4eb60fc8,/m/03bt1vf,/m/02wzbmj,is
2fed663b4eb60fc8,/m/04yx4,/m/019nj4,is
2fed663b4eb60fc8,/m/04yx4,/m/02wzbmj,is
2fed663b4eb60fc8,/m/04yx4,/m/02wzbmj,is
2fed663b4eb60fc8,/m/04yx4,/m/02wzbmj,is
2fed663b4eb60fc8,/m/04yx4,/m/02wzbmj,is
2fed663b4eb60fc8,/m/05r655,/m/02wzbmj,is
2db95c7de25d0142,/m/04yx4,/m/083mg,is
4de837768914b2a0,/m/04yx4,/m/02wzbmj,is
4de837768914b2a0,/m/04yx4,/m/02wzbmj,is
07bb1574590ad7fd,/m/01mzpv,/m/01y9k5,at
07bb1574590ad7fd,/m/01mzpv,/m/01y9k5,at
07bb1574590ad7fd,/m/01mzpv,/m/01y9k5,at
07bb1574590ad7fd,/m/01mzpv,/m/01y9k5,at
b465df5c6ae982bf,/m/04dr76w,/m/02gy9n,is
b465df5c6ae982bf,/m/04dr76w,/m/02gy9n,is
b465df5c6ae982bf,/m/04dr76w,/m/02gy9n,is
c13c22c21d75f8dc,/m/03bt1vf,/m/019nj4,is
c13c22c21d75f8dc,/m/03bt1vf,/m/019nj4,is
c13c22c21d75f8dc,/m/03bt1vf,/m/02wzbmj,is
c13c22c21d75f8dc,/m/03bt1vf,/m/083mg,is
de635c5d3ecd3c46,/m/04yx4,/m/0mkg,plays
de635c5d3ecd3c46,/m/04yx4,/m/0mkg,holds
de635c5d3ecd3c46,/m/04yx4,/m/015lz1,is
de635c5d3ecd3c46,/m/04yx4,/m/02wzbmj,is
52e04465fca6be90,/m/04yx4,/m/02wzbmj,is
52e04465fca6be90,/m/04yx4,/m/02wzbmj,is
52e04465fca6be90,/m/04yx4,/m/02wzbmj,is
52e04465fca6be90,/m/04yx4,/m/02wzbmj,is
52e04465fca6be90,/m/04yx4,/m/02wzbmj,is
52e04465fca6be90,/m/04yx4,/m/02wzbmj,is
52e04465fca6be90,/m/04yx4,/m/02wzbmj,is
c416ac5306e7a02d,/m/03bt1vf,/m/02wzbmj,is
c416ac5306e7a02d,/m/04yx4,/m/02wzbmj,is
1f86d752973811c0,/m/03bt1vf,/m/019nj4,is
1f86d752973811c0,/m/05r655,/m/019nj4,is
9d94d83310780c6f,/m/03bt1vf,/m/0dv9c,holds
9d94d83310780c6f,/m/03bt1vf,/m/015c4z,is
9d94d83310780c6f,/m/03bt1vf,/m/015c4z,is
9d94d83310780c6f,/m/03bt1vf,/m/015c4z,is
9d94d83310780c6f,/m/03bt1vf,/m/015c4z,is
9d94d83310780c6f,/m/03bt1vf,/m/015c4z,is
9d94d83310780c6f,/m/03bt1vf,/m/015c4z,is
9d94d83310780c6f,/m/03bt1vf,/m/015c4z,is
9d94d83310780c6f,/m/03bt1vf,/m/015c4z,is
9d94d83310780c6f,/m/03bt1vf,/m/02wzbmj,is
9d94d83310780c6f,/m/04yx4,/m/015c4z,is
9d94d83310780c6f,/m/04yx4,/m/015c4z,is
c7f73a6f88a0c76b,/m/01bl7v,/m/06h7j,is
c7f73a6f88a0c76b,/m/04yx4,/m/06h7j,is
c7f73a6f88a0c76b,/m/04yx4,/m/06h7j,is
c7f73a6f88a0c76b,/m/04yx4,/m/0by3w,is
ff05a3754a8e7247,/m/02p5f1q,/m/02vqfm,contain
0a556c8163b58fae,/m/04bcr3,/m/083vt,is
b0cdc3c6b4dcf399,/m/04yx4,/m/0jyfg,wears
b0cdc3c6b4dcf399,/m/04yx4,/m/0jyfg,wears
b0cdc3c6b4dcf399,/m/04yx4,/m/019nj4,is
b0cdc3c6b4dcf399,/m/04yx4,/m/019nj4,is
